,Sec_Centro,Sec_Nororiente,Sec_Norponiente,Sec_Norte,Sec_Sur,Sec_Suroriente,Sec_Surponiente,Dorms,Baths,Built Area,Total Area,Parking,Price_CLP_MM
0,False,False,False,False,True,False,False,2,1.0,112.0,145.0,1.0,105.0
1,False,False,False,False,False,False,True,3,1.0,59.0,243.0,2.0,128.12
2,False,False,False,True,False,False,False,3,1.0,103.0,73.0,1.0,75.0
3,False,False,False,True,False,False,False,2,1.0,57.0,67.0,1.0,53.0
4,False,False,False,True,False,False,False,3,1.0,70.0,80.0,2.0,75.0
5,False,False,False,False,False,True,False,2,1.0,50.0,120.0,1.0,105.0
6,False,False,False,False,False,False,True,3,1.0,72.0,72.0,1.0,76.0
7,False,False,False,False,False,False,True,3,1.0,46.0,90.0,1.0,76.0
8,False,False,False,False,False,False,True,3,1.0,100.0,134.0,3.0,90.0
9,False,False,False,False,True,False,False,3,2.0,50.0,88.0,1.0,75.0
10,False,False,False,False,False,False,True,3,2.0,98.0,130.0,2.0,153.04
11,False,False,True,False,False,False,False,4,1.0,69.0,200.0,2.0,132.0
12,False,False,False,False,False,True,False,5,6.0,240.0,600.0,2.0,480.0
13,False,False,False,False,False,True,False,3,3.0,105.0,280.0,2.0,295.4
14,False,False,False,False,False,True,False,5,3.0,150.0,400.0,2.0,391.49
15,False,False,False,True,False,False,False,3,3.0,80.0,156.0,2.0,160.16
16,False,False,False,True,False,False,False,3,2.0,68.0,221.0,1.0,129.9
17,False,False,True,False,False,False,False,2,1.0,96.0,247.0,1.0,150.0
18,False,False,False,False,True,False,False,3,2.0,91.0,268.0,2.0,160.0
19,False,False,False,False,True,False,False,3,1.0,62.0,88.0,1.0,75.0
20,False,False,False,False,True,False,False,3,2.0,90.0,80.0,1.0,75.0
21,False,False,False,False,False,True,False,5,2.0,165.0,315.0,1.0,160.0
22,False,False,False,False,False,True,False,2,1.0,83.0,1000.0,4.0,302.73
23,True,False,False,False,False,False,False,5,4.0,250.0,190.0,1.0,239.0
24,False,False,False,True,False,False,False,5,5.0,156.0,530.0,4.0,444.52
25,False,False,False,False,False,False,True,3,2.0,80.0,100.0,2.0,125.0
26,False,False,False,False,True,False,False,3,1.0,52.0,75.0,1.0,65.13
27,False,False,False,False,False,False,True,3,1.0,76.0,120.0,2.0,115.0
28,False,False,False,False,True,False,False,3,3.0,113.0,130.0,1.0,261.59
29,False,True,False,False,False,False,False,4,3.0,109.0,119.0,1.0,266.57
30,False,False,False,True,False,False,False,3,2.0,88.0,158.0,3.0,160.16
31,False,False,False,False,True,False,False,5,2.0,200.0,300.0,3.0,259.81
32,False,False,True,False,False,False,False,3,3.0,145.0,454.0,2.0,282.94
