index,precision,recall,f1-score,support,Clasificador
0,0.9020979020979021,0.9046283309957924,0.9033613445378152,713.0,Datos EEUU - Decision Tree con datos Original
1,0.9042253521126761,0.901685393258427,0.9029535864978904,712.0,Datos EEUU - Decision Tree con datos Original
accuracy,0.9031578947368422,0.9031578947368422,0.9031578947368422,0.9031578947368422,Datos EEUU - Decision Tree con datos Original
macro avg,0.9031616271052891,0.9031568621271098,0.9031574655178528,1425.0,Datos EEUU - Decision Tree con datos Original
weighted avg,0.9031608806315997,0.9031578947368422,0.9031576085908493,1425.0,Datos EEUU - Decision Tree con datos Original
0,0.819918144611187,0.8429172510518934,0.8312586445366529,713.0,Datos EEUU - Logistic Regression con datos Original
1,0.838150289017341,0.8146067415730337,0.8262108262108262,712.0,Datos EEUU - Logistic Regression con datos Original
accuracy,0.8287719298245614,0.8287719298245614,0.8287719298245614,0.8287719298245614,Datos EEUU - Logistic Regression con datos Original
macro avg,0.8290342168142639,0.8287619963124635,0.8287347353737395,1425.0,Datos EEUU - Logistic Regression con datos Original
weighted avg,0.8290278195706126,0.8287719298245614,0.8287365065380644,1425.0,Datos EEUU - Logistic Regression con datos Original
0,0.8675034867503487,0.8723702664796634,0.8699300699300699,713.0,Datos EEUU - KNN con datos Original
1,0.8714689265536724,0.8665730337078652,0.8690140845070423,712.0,Datos EEUU - KNN con datos Original
accuracy,0.8694736842105263,0.8694736842105263,0.8694736842105263,0.8694736842105263,Datos EEUU - KNN con datos Original
macro avg,0.8694862066520106,0.8694716500937643,0.8694720772185561,1425.0,Datos EEUU - KNN con datos Original
weighted avg,0.8694848152696234,0.8694736842105263,0.8694723986169501,1425.0,Datos EEUU - KNN con datos Original
0,0.8520114942528736,0.8316970546984572,0.8417317246273953,713.0,Datos EEUU - Gaussian Naive Bayes con datos Original
1,0.8353909465020576,0.8553370786516854,0.8452463566967383,712.0,Datos EEUU - Gaussian Naive Bayes con datos Original
accuracy,0.8435087719298245,0.8435087719298245,0.8435087719298245,0.8435087719298245,Datos EEUU - Gaussian Naive Bayes con datos Original
macro avg,0.8437012203774656,0.8435170666750713,0.8434890406620668,1425.0,Datos EEUU - Gaussian Naive Bayes con datos Original
weighted avg,0.8437070521486062,0.8435087719298245,0.843487807457832,1425.0,Datos EEUU - Gaussian Naive Bayes con datos Original
0,0.48667601683029454,0.48667601683029454,0.48667601683029454,713.0,Datos EEUU - Base Dummy con datos Original
1,0.4859550561797753,0.4859550561797753,0.4859550561797753,712.0,Datos EEUU - Base Dummy con datos Original
accuracy,0.4863157894736842,0.4863157894736842,0.4863157894736842,0.4863157894736842,Datos EEUU - Base Dummy con datos Original
macro avg,0.4863155365050349,0.4863155365050349,0.4863155365050349,1425.0,Datos EEUU - Base Dummy con datos Original
weighted avg,0.4863157894736842,0.4863157894736842,0.4863157894736842,1425.0,Datos EEUU - Base Dummy con datos Original
0,0.9179229480737019,0.7685834502103787,0.8366412213740458,713.0,Datos EEUU - SVM con datos Original
1,0.8007246376811594,0.9311797752808989,0.861038961038961,712.0,Datos EEUU - SVM con datos Original
accuracy,0.8498245614035088,0.8498245614035088,0.8498245614035088,0.8498245614035088,Datos EEUU - SVM con datos Original
macro avg,0.8593237928774307,0.8498816127456388,0.8488400912065035,1425.0,Datos EEUU - SVM con datos Original
weighted avg,0.8593649150916035,0.8498245614035088,0.8488315305960947,1425.0,Datos EEUU - SVM con datos Original
0,0.9109874826147427,0.9186535764375876,0.914804469273743,713.0,Datos EEUU - RandomForest con datos Original
1,0.9178470254957507,0.9101123595505618,0.9139633286318759,712.0,Datos EEUU - RandomForest con datos Original
accuracy,0.9143859649122807,0.9143859649122807,0.9143859649122807,0.9143859649122807,Datos EEUU - RandomForest con datos Original
macro avg,0.9144172540552467,0.9143829679940747,0.9143838989528095,1425.0,Datos EEUU - RandomForest con datos Original
weighted avg,0.9144148471980955,0.9143859649122807,0.9143841940898768,1425.0,Datos EEUU - RandomForest con datos Original
0,0.6663479923518164,0.9775596072931276,0.7924957362137578,713.0,Datos EEUU - SVM RBF con datos Original
1,0.9577836411609498,0.5098314606741573,0.6654445462878094,712.0,Datos EEUU - SVM RBF con datos Original
accuracy,0.743859649122807,0.743859649122807,0.743859649122807,0.743859649122807,Datos EEUU - SVM RBF con datos Original
macro avg,0.8120658167563831,0.7436955339836424,0.7289701412507836,1425.0,Datos EEUU - SVM RBF con datos Original
weighted avg,0.8119635586339939,0.743859649122807,0.7290147206156699,1425.0,Datos EEUU - SVM RBF con datos Original
0,0.5007022471910112,1.0,0.6672905942910622,713.0,Datos EEUU - SVM Poly con datos Original
1,1.0,0.0014044943820224719,0.0028050490883590466,712.0,Datos EEUU - SVM Poly con datos Original
accuracy,0.5010526315789474,0.5010526315789474,0.5010526315789474,0.5010526315789474,Datos EEUU - SVM Poly con datos Original
macro avg,0.7503511235955056,0.5007022471910112,0.33504782168971065,1425.0,Datos EEUU - SVM Poly con datos Original
weighted avg,0.7501759314015375,0.5010526315789474,0.33528097451258876,1425.0,Datos EEUU - SVM Poly con datos Original
