Dorms,Baths,Built Area,Total Area,Parking,Sector,Price_CLP_MM
2,1.0,112.0,145.0,1.0,Sur,105.0
3,1.0,59.0,243.0,2.0,Surponiente,128.12
3,1.0,103.0,73.0,1.0,Norte,75.0
2,1.0,57.0,67.0,1.0,Norte,53.0
3,1.0,70.0,80.0,2.0,Norte,75.0
2,1.0,50.0,120.0,1.0,Suroriente,105.0
3,1.0,72.0,72.0,1.0,Surponiente,76.0
3,1.0,46.0,90.0,1.0,Surponiente,76.0
3,1.0,100.0,134.0,3.0,Surponiente,90.0
3,2.0,50.0,88.0,1.0,Sur,75.0
3,2.0,98.0,130.0,2.0,Surponiente,153.04
4,1.0,69.0,200.0,2.0,Norponiente,132.0
5,6.0,240.0,600.0,2.0,Suroriente,480.0
3,3.0,105.0,280.0,2.0,Suroriente,295.4
5,3.0,150.0,400.0,2.0,Suroriente,391.49
3,3.0,80.0,156.0,2.0,Norte,160.16
3,2.0,68.0,221.0,1.0,Norte,129.9
2,1.0,96.0,247.0,1.0,Norponiente,150.0
3,2.0,91.0,268.0,2.0,Sur,160.0
3,1.0,62.0,88.0,1.0,Sur,75.0
3,2.0,90.0,80.0,1.0,Sur,75.0
5,2.0,165.0,315.0,1.0,Suroriente,160.0
2,1.0,83.0,1000.0,4.0,Suroriente,302.73
5,4.0,250.0,190.0,1.0,Centro,239.0
5,5.0,156.0,530.0,4.0,Norte,444.52
3,2.0,80.0,100.0,2.0,Surponiente,125.0
3,1.0,52.0,75.0,1.0,Sur,65.13
3,1.0,76.0,120.0,2.0,Surponiente,115.0
3,3.0,113.0,130.0,1.0,Sur,261.59
4,3.0,109.0,119.0,1.0,Nororiente,266.57
3,2.0,88.0,158.0,3.0,Norte,160.16
5,2.0,200.0,300.0,3.0,Sur,259.81
3,3.0,145.0,454.0,2.0,Norponiente,282.94
4,3.0,160.0,162.0,2.0,Surponiente,140.58
3,2.0,100.0,136.0,1.0,Surponiente,121.0
5,2.0,127.0,112.0,2.0,Surponiente,139.0
3,1.0,55.0,100.0,1.0,Surponiente,91.0
4,2.0,101.0,168.0,2.0,Sur,140.58
4,3.0,160.0,400.0,2.0,Norponiente,333.83
2,1.0,65.0,85.0,1.0,Suroriente,85.0
3,2.0,90.0,149.0,2.0,Norte,184.36
3,3.0,110.0,190.0,1.0,Norponiente,238.45
5,3.0,165.0,400.0,2.0,Norponiente,309.63
4,4.0,130.0,130.0,1.0,Surponiente,190.41
4,3.0,140.0,550.0,2.0,Norponiente,347.0
3,3.0,130.0,300.0,3.0,Norponiente,291.84
3,3.0,125.0,850.0,2.0,Norponiente,293.62
4,3.0,120.0,420.0,2.0,Norponiente,297.18
3,3.0,130.0,170.0,1.0,Norponiente,241.66
16,12.0,389.0,890.0,3.0,Suroriente,533.85
3,3.0,85.0,180.0,2.0,Suroriente,160.0
7,3.0,250.0,1000.0,8.0,Norponiente,155.0
6,4.0,176.0,275.0,2.0,Nororiente,444.88
3,3.0,92.0,148.0,1.0,Sur,136.0
5,2.0,113.0,108.0,2.0,Surponiente,119.0
4,2.0,110.0,130.0,3.0,Surponiente,175.0
4,2.0,229.0,248.0,2.0,Nororiente,391.49
3,3.0,118.0,350.0,3.0,Norte,354.12
4,3.0,170.0,450.0,5.0,Norte,426.72
5,2.0,248.0,292.0,2.0,Norte,153.04
2,1.0,60.0,100.0,3.0,Norte,130.0
4,4.0,140.0,250.0,3.0,Norte,305.72
5,5.0,180.0,580.0,5.0,Norte,444.84
3,3.0,100.0,170.0,2.0,Surponiente,115.0
4,3.0,94.0,104.0,1.0,Nororiente,261.2
2,1.0,70.0,128.0,1.0,Suroriente,99.0
6,2.0,157.0,408.0,6.0,Nororiente,571.9
4,3.0,82.0,140.0,4.0,Centro,0.0
5,4.0,130.0,175.0,3.0,Suroriente,150.0
7,3.0,180.0,120.0,2.0,Surponiente,198.0
4,3.0,270.0,580.0,4.0,Norte,601.47
6,2.0,156.0,192.0,1.0,Norte,137.0
3,1.0,85.0,185.0,2.0,Suroriente,137.02
4,3.0,108.0,182.0,2.0,Sur,183.5
6,3.0,550.0,2000.0,3.0,Sur,560.0
4,2.0,144.0,221.0,3.0,Suroriente,265.0
3,2.0,229.0,248.0,2.0,Nororiente,0.01
3,3.0,76.0,118.0,2.0,Surponiente,134.53
3,3.0,218.0,5000.0,6.0,Suroriente,354.0
3,2.0,89.0,212.0,2.0,Sur,135.24
6,2.0,110.0,154.0,1.0,Suroriente,75.9
4,2.0,170.0,468.0,3.0,Nororiente,533.85
3,3.0,84.0,133.0,2.0,Norte,142.36
2,1.0,78.0,70.0,2.0,Sur,77.8
3,2.0,92.0,179.0,2.0,Suroriente,179.73
3,1.0,77.0,171.0,1.0,Surponiente,138.8
4,4.0,182.0,1600.0,5.0,Suroriente,960.93
5,3.0,254.0,490.0,4.0,Centro,925.34
4,2.0,90.0,100.0,1.0,Sur,115.0
3,1.0,61.0,108.0,2.0,Suroriente,102.64
4,3.0,140.0,260.0,2.0,Suroriente,462.67
3,2.0,65.0,90.0,1.0,Surponiente,72.0
3,3.0,92.0,172.0,4.0,Suroriente,140.0
3,2.0,83.0,750.0,6.0,Sur,252.33
3,2.0,63.0,107.0,2.0,Sur,115.95
3,2.0,98.0,227.0,2.0,Suroriente,242.01
4,2.0,153.0,173.0,2.0,Suroriente,210.0
5,2.0,150.0,330.0,3.0,Sur,295.4
3,1.0,43.0,198.0,2.0,Surponiente,75.0
4,4.0,177.0,259.0,3.0,Suroriente,320.31
3,1.0,81.0,160.0,3.0,Suroriente,125.0
4,1.0,70.0,135.0,1.0,Nororiente,105.0
3,3.0,167.0,400.0,3.0,Norte,480.46
5,3.0,178.0,216.0,1.0,Norte,227.0
3,3.0,121.0,290.0,2.0,Suroriente,266.92
4,2.0,160.0,300.0,2.0,Norte,143.0
2,1.0,60.0,90.0,1.0,Surponiente,75.0
3,3.0,130.0,150.0,2.0,Surponiente,120.0
5,2.0,130.0,115.0,2.0,Suroriente,64.5
3,2.0,80.0,160.0,1.0,Surponiente,79.0
4,2.0,50.0,69.0,1.0,Surponiente,74.0
3,2.0,228.0,451.0,3.0,Nororiente,448.43
3,1.0,85.0,180.0,3.0,Norte,130.0
4,2.0,250.0,500.0,4.0,Suroriente,273.0
5,3.0,131.0,241.0,1.0,Suroriente,286.5
2,2.0,75.0,149.0,1.0,Surponiente,120.0
4,2.0,82.0,104.0,1.0,Surponiente,120.0
3,3.0,84.0,120.0,1.0,Suroriente,120.0
4,3.0,225.0,700.0,2.0,Nororiente,743.83
4,2.0,85.0,155.0,2.0,Sur,151.26
3,2.0,102.0,86.0,1.0,Suroriente,117.59
3,2.0,140.0,1000.0,4.0,Suroriente,355.9
6,6.0,350.0,1000.0,7.0,Nororiente,960.75
3,3.0,99.0,157.0,2.0,Suroriente,178.27
3,1.0,75.0,102.0,1.0,Suroriente,130.0
4,1.0,74.0,162.0,2.0,Suroriente,140.0
3,3.0,112.0,240.0,2.0,Sur,247.35
5,4.0,140.0,220.0,2.0,Nororiente,432.42
4,3.0,113.0,178.0,2.0,Suroriente,203.0
4,3.0,122.0,374.0,2.0,Suroriente,274.04
2,2.0,49.0,80.0,1.0,Suroriente,93.0
3,2.0,145.0,247.0,4.0,Norte,208.2
3,2.0,89.0,181.0,3.0,Suroriente,164.0
4,3.0,150.0,210.0,2.0,Nororiente,675.0
5,4.0,220.0,340.0,2.0,Suroriente,480.46
4,3.0,137.0,225.0,1.0,Norponiente,249.13
4,3.0,129.0,228.0,2.0,Norponiente,266.92
6,5.0,344.0,702.0,5.0,Nororiente,1299.04
3,3.0,135.0,135.0,2.0,Norte,366.58
6,4.0,170.0,610.0,3.0,Norte,444.88
3,1.0,65.0,90.0,2.0,Surponiente,87.0
5,6.0,217.0,596.0,5.0,Surponiente,462.67
4,2.0,80.0,100.0,1.0,Suroriente,88.0
3,3.0,84.0,169.0,2.0,Surponiente,160.16
3,2.0,55.0,93.0,4.0,Surponiente,77.0
3,1.0,89.0,200.0,3.0,Surponiente,165.49
3,3.0,155.0,233.0,4.0,Surponiente,270.48
4,2.0,110.0,258.0,2.0,Nororiente,473.35
5,3.0,178.0,264.0,1.0,Suroriente,199.84
3,1.0,40.0,198.0,2.0,Nororiente,155.0
4,3.0,80.0,105.0,3.0,Suroriente,126.81
3,3.0,107.0,180.0,2.0,Norte,266.92
5,2.0,182.0,250.0,4.0,Norte,220.0
3,3.0,99.0,300.0,3.0,Suroriente,201.08
7,4.0,206.0,1000.0,6.0,Suroriente,496.48
3,1.0,74.0,160.0,4.0,Sur,78.12
4,2.0,84.0,90.0,2.0,Surponiente,130.0
3,1.0,56.0,90.0,1.0,Suroriente,110.33
11,4.0,567.0,702.0,1269.0,Nororiente,925.34
3,2.0,65.0,105.0,1.0,Suroriente,150.0
4,3.0,200.0,500.0,3.0,Nororiente,551.64
6,5.0,180.0,542.0,2.0,Nororiente,745.0
7,5.0,300.0,5600.0,10.0,Nororiente,1031.4
3,2.0,122.0,226.0,2.0,Nororiente,391.49
4,2.0,119.0,165.0,1.0,Nororiente,319.95
4,3.0,281.0,500.0,4.0,Nororiente,632.79
5,4.0,130.0,150.0,2.0,Nororiente,444.88
3,3.0,113.0,253.0,2.0,Nororiente,396.83
2,1.0,80.0,56.0,1.0,Norte,65.84
5,5.0,330.0,560.0,4.0,Nororiente,1281.24
3,2.0,75.0,229.0,3.0,Nororiente,398.61
4,4.0,168.0,233.0,3.0,Nororiente,1263.44
4,2.0,48.0,123.0,2.0,Suroriente,82.0
4,2.0,90.0,140.0,1.0,Suroriente,109.0
3,3.0,140.0,160.0,2.0,Surponiente,160.0
4,2.0,100.0,245.0,6.0,Norte,125.0
6,3.0,120.0,140.0,1.0,Surponiente,118.0
2,1.0,55.0,70.0,1.0,Norte,65.0
3,3.0,181.0,5141.0,3.0,Surponiente,427.04
5,2.0,98.0,107.0,1.0,Sur,85.42
4,2.0,123.0,181.0,1.0,Suroriente,156.6
4,3.0,480.0,1499.0,4.0,Nororiente,1530.37
5,4.0,260.0,550.0,1.0,Suroriente,583.68
3,3.0,325.0,325.0,3.0,Suroriente,409.28
5,2.0,120.0,242.0,2.0,Surponiente,222.44
6,4.0,179.0,400.0,2.0,Suroriente,427.08
5,4.0,160.0,505.0,3.0,Suroriente,469.79
3,3.0,122.0,200.0,3.0,Suroriente,288.28
4,3.0,110.0,220.0,2.0,Suroriente,270.48
4,3.0,115.0,300.0,3.0,Suroriente,306.07
4,3.0,237.0,2002.0,7.0,Suroriente,569.44
5,5.0,350.0,750.0,2.0,Nororiente,1138.88
3,2.0,115.0,172.0,2.0,Nororiente,302.52
4,3.0,135.0,260.0,3.0,Surponiente,220.62
5,5.0,311.0,1543.0,6.0,Nororiente,992.96
5,4.0,324.0,1105.0,5.0,Nororiente,1032.11
6,5.0,402.0,1150.0,4.0,Nororiente,1089.05
5,4.0,190.0,395.0,3.0,Nororiente,587.24
4,4.0,313.0,4411.0,8.0,Norte,1245.65
3,2.0,110.0,225.0,3.0,Nororiente,370.14
6,4.0,240.0,226.0,4.0,Nororiente,640.62
4,4.0,380.0,960.0,3.0,Nororiente,1103.29
4,2.0,300.0,1250.0,8.0,Nororiente,925.34
4,3.0,115.0,212.0,2.0,Norponiente,220.0
7,4.0,250.0,960.0,4.0,Nororiente,1245.65
5,4.0,240.0,500.0,5.0,Nororiente,925.34
6,6.0,450.0,2800.0,11.0,Nororiente,1850.68
5,5.0,480.0,1240.0,10.0,Nororiente,2099.81
4,3.0,488.0,2421.0,8.0,Nororiente,1868.48
5,4.0,840.0,2300.0,9.0,Nororiente,1921.86
6,3.0,250.0,649.0,6.0,Nororiente,726.04
4,6.0,160.0,825.0,4.0,Norte,484.02
4,6.0,220.0,825.0,4.0,Norte,484.02
4,4.0,290.0,720.0,4.0,Nororiente,957.02
4,4.0,365.0,1182.0,6.0,Nororiente,907.54
4,4.0,402.0,795.0,5.0,Nororiente,1637.14
4,4.0,356.0,812.0,5.0,Nororiente,1633.58
5,4.0,304.0,600.0,4.0,Nororiente,1170.91
7,6.0,380.0,1012.0,6.0,Nororiente,1316.47
4,4.0,430.0,1600.0,6.0,Nororiente,1135.32
5,4.0,450.0,2000.0,5.0,Nororiente,1199.38
4,3.0,222.0,766.0,6.0,Nororiente,658.42
5,5.0,280.0,800.0,4.0,Nororiente,971.61
4,4.0,200.0,831.0,6.0,Nororiente,1.42
5,4.0,350.0,950.0,10.0,Nororiente,1.42
5,4.0,620.0,1600.0,12.0,Nororiente,2135.4
4,3.0,260.0,830.0,2.0,Nororiente,996.52
3,3.0,93.0,93.0,2.0,Surponiente,150.0
3,2.0,61.0,176.0,3.0,Surponiente,127.99
4,3.0,174.0,209.0,2.0,Suroriente,255.32
4,2.0,140.0,162.0,2.0,Sur,75.0
4,1.0,100.0,106.0,2.0,Surponiente,67.0
3,1.0,100.0,100.0,2.0,Nororiente,154.9
3,1.0,110.0,220.0,1.0,Nororiente,100.72
4,3.0,140.0,313.0,3.0,Suroriente,412.84
5,4.0,160.0,286.0,3.0,Nororiente,455.55
4,3.0,108.0,217.0,2.0,Norponiente,201.08
4,3.0,176.0,600.0,4.0,Nororiente,615.71
2,1.0,36.0,64.0,1.0,Norponiente,56.9
7,6.0,433.0,1008.0,10.0,Nororiente,847.04
5,4.0,330.0,1000.0,5.0,Nororiente,1067.7
4,5.0,260.0,1397.0,4.0,Nororiente,811.45
7,5.0,470.0,1800.0,7.0,Nororiente,1779.5
8,7.0,692.0,2061.0,7.0,Nororiente,2131.84
3,2.0,85.0,90.0,1.0,Norte,88.0
3,4.0,150.0,518.0,2.0,Norte,542.75
3,2.0,100.0,100.0,1.0,Suroriente,56.0
5,4.0,300.0,1000.0,5.0,Nororiente,1014.32
5,1.0,15951.0,250.0,3.0,Nororiente,517.3
5,2.0,92.0,120.0,2.0,Surponiente,142.0
4,3.0,200.0,700.0,3.0,Nororiente,832.81
3,2.0,133.0,256.0,3.0,Sur,179.2
4,4.0,225.0,504.0,4.0,Nororiente,765.18
4,5.0,300.0,2400.0,4.0,Nororiente,1672.73
10,12.0,2400.0,5061.0,15.0,Nororiente,4804.65
5,3.0,517.0,2977.0,5.0,Nororiente,1957.45
8,7.0,620.0,5000.0,12.0,Surponiente,990.0
4,4.0,337.0,809.0,3.0,Nororiente,989.4
5,3.0,153.0,193.0,2.0,Nororiente,540.97
5,4.0,171.0,434.0,3.0,Nororiente,587.24
6,5.0,260.0,1000.0,4.0,Nororiente,854.16
5,4.0,395.0,1050.0,4.0,Nororiente,925.34
7,6.0,440.0,1100.0,5.0,Nororiente,1743.91
3,3.0,230.0,528.0,4.0,Nororiente,516.05
6,5.0,170.0,350.0,4.0,Nororiente,498.26
4,2.0,140.0,780.0,3.0,Norponiente,412.84
3,3.0,112.0,261.0,2.0,Norponiente,232.76
6,4.0,220.0,265.0,2.0,Nororiente,658.42
5,2.0,127.0,210.0,2.0,Surponiente,170.0
2,3.0,96.0,123.0,1.0,Nororiente,352.34
4,4.0,275.0,921.0,5.0,Nororiente,711.8
4,5.0,389.0,900.0,6.0,Nororiente,1064.14
6,4.0,500.0,5900.0,17.0,Nororiente,1028.55
4,4.0,152.0,500.0,3.0,Nororiente,491.14
5,7.0,250.0,5000.0,4.0,Norte,530.29
8,4.0,240.0,20.0,3.0,Nororiente,675.5
5,4.0,140.0,256.0,2.0,Suroriente,316.75
4,2.0,92.0,162.0,3.0,Suroriente,145.0
3,3.0,90.0,150.0,1.0,Suroriente,186.85
4,2.0,100.0,191.0,4.0,Suroriente,137.0
7,7.0,450.0,4000.0,6.0,Suroriente,1280.88
6,5.0,370.0,5000.0,2.0,Norte,779.42
3,1.0,94.0,267.0,2.0,Surponiente,195.74
4,2.0,118.0,200.0,2.0,Norte,249.13
4,3.0,164.0,220.0,2.0,Nororiente,551.64
3,3.0,125.0,256.0,2.0,Nororiente,484.02
6,5.0,604.0,4720.0,8.0,Nororiente,1957.45
6,5.0,306.0,1137.0,5.0,Nororiente,1085.49
7,5.0,495.0,7200.0,11.0,Nororiente,1316.83
8,5.0,220.0,455.0,6.0,Nororiente,889.75
4,4.0,328.0,924.0,6.0,Nororiente,1423.6
6,3.0,183.0,282.0,2.0,Surponiente,200.0
4,3.0,236.0,936.0,5.0,Nororiente,1423.6
2,1.0,100.0,120.0,1.0,Surponiente,52.32
6,2.0,300.0,1500.0,5.0,Surponiente,850.0
4,3.0,140.0,270.0,2.0,Nororiente,565.88
5,4.0,205.0,480.0,2.0,Nororiente,694.0
5,4.0,176.0,469.0,2.0,Nororiente,675.85
3,2.0,180.0,254.0,2.0,Norte,230.0
8,8.0,660.0,1294.0,8.0,Nororiente,1600.48
7,7.0,467.0,1301.0,6.0,Nororiente,1939.66
3,3.0,428.0,1800.0,6.0,Nororiente,1323.95
5,7.0,330.0,970.0,3.0,Nororiente,1099.73
7,4.0,327.0,950.0,5.0,Nororiente,889.75
5,3.0,225.0,486.0,3.0,Nororiente,597.91
6,6.0,614.0,1644.0,5.0,Nororiente,2128.28
7,8.0,560.0,1300.0,8.0,Nororiente,1565.96
5,5.0,260.0,694.0,2.0,Nororiente,836.36
4,2.0,57.0,79.0,2.0,Norte,57.0
3,3.0,83.0,120.0,3.0,Norponiente,135.0
6,4.0,242.0,443.0,4.0,Nororiente,553.42
4,2.0,135.0,319.0,2.0,Nororiente,460.89
4,3.0,140.0,303.0,2.0,Nororiente,423.52
5,5.0,297.0,780.0,6.0,Nororiente,960.93
7,5.0,360.0,578.0,2.0,Nororiente,1281.24
6,5.0,250.0,464.0,2.0,Nororiente,676.21
5,3.0,170.0,210.0,2.0,Nororiente,498.26
4,3.0,300.0,1220.0,3.0,Nororiente,871.96
5,5.0,215.0,611.0,3.0,Nororiente,701.12
6,5.0,294.0,551.0,3.0,Nororiente,925.34
5,5.0,200.0,539.0,2.0,Nororiente,711.8
5,5.0,166.0,619.0,2.0,Norte,494.7
5,6.0,227.0,532.0,2.0,Nororiente,729.6
5,5.0,180.0,216.0,2.0,Nororiente,491.14
6,5.0,162.0,216.0,2.0,Nororiente,533.85
4,3.0,140.0,420.0,2.0,Nororiente,779.42
6,5.0,344.0,1050.0,4.0,Nororiente,996.52
6,4.0,210.0,480.0,2.0,Nororiente,711.8
5,5.0,266.0,836.0,3.0,Nororiente,921.78
5,5.0,433.0,1127.0,4.0,Nororiente,1067.7
6,7.0,735.0,2502.0,4.0,Nororiente,2669.25
6,4.0,415.0,1261.0,4.0,Nororiente,1049.9
6,4.0,325.0,125.0,1.0,Nororiente,500.0
4,2.0,90.0,198.0,2.0,Sur,140.0
6,3.0,484.0,437.0,4.0,Surponiente,560.0
3,2.0,168.0,1246.0,4.0,Nororiente,782.98
4,2.0,115.0,307.0,2.0,Suroriente,327.43
4,5.0,280.0,515.0,2.0,Nororiente,853.45
4,2.0,139.0,199.0,2.0,Suroriente,280.0
4,3.0,96.0,148.0,1.0,Suroriente,160.16
5,3.0,155.0,299.0,4.0,Suroriente,391.13
3,3.0,90.0,100.0,1.0,Suroriente,177.95
4,2.0,120.0,288.0,3.0,Suroriente,320.31
4,2.0,127.0,370.0,3.0,Suroriente,170.0
4,2.0,135.0,356.0,3.0,Nororiente,533.85
4,2.0,160.0,260.0,2.0,Surponiente,260.0
3,3.0,90.0,180.0,2.0,Surponiente,183.29
4,2.0,110.0,278.0,2.0,Suroriente,263.37
3,2.0,87.0,158.0,2.0,Nororiente,273.69
5,3.0,163.0,497.0,3.0,Nororiente,516.05
5,3.0,167.0,228.0,4.0,Nororiente,448.43
4,3.0,189.0,200.0,3.0,Suroriente,310.0
3,2.0,125.0,300.0,3.0,Sur,228.0
5,3.0,163.0,175.0,3.0,Sur,205.0
4,3.0,300.0,380.0,3.0,Nororiente,960.93
4,2.0,105.0,220.0,2.0,Nororiente,380.81
4,3.0,350.0,5000.0,4.0,Surponiente,480.46
5,3.0,115.0,155.0,3.0,Surponiente,151.26
4,4.0,228.0,4928.0,5.0,Nororiente,2016.96
7,6.0,670.0,2150.0,8.0,Nororiente,1245.65
4,2.0,102.0,210.0,1.0,Nororiente,504.67
3,2.0,130.0,200.0,2.0,Suroriente,231.34
7,7.0,350.0,3500.0,6.0,Nororiente,1316.83
5,3.0,140.0,200.0,2.0,Nororiente,491.14
5,2.0,75.0,144.0,1.0,Norte,130.0
2,1.0,38.0,124.0,1.0,Suroriente,82.0
3,1.0,87.0,350.0,1.0,Norte,170.0
4,3.0,147.0,176.0,3.0,Suroriente,270.48
6,5.0,270.0,573.0,4.0,Nororiente,740.27
5,4.0,240.0,600.0,7.0,Nororiente,854.16
2,2.0,59.0,67.0,1.0,Norte,55.0
3,3.0,110.0,200.0,2.0,Norte,213.54
4,4.0,181.0,252.0,2.0,Nororiente,546.31
5,5.0,270.0,820.0,5.0,Nororiente,882.63
6,4.0,190.0,398.0,2.0,Nororiente,797.22
5,4.0,259.0,633.0,4.0,Nororiente,996.16
5,5.0,400.0,1000.0,4.0,Nororiente,1103.29
4,5.0,330.0,600.0,4.0,Nororiente,1242.09
4,4.0,260.0,1154.0,3.0,Nororiente,1032.11
4,4.0,360.0,1000.0,6.0,Nororiente,1032.11
5,4.0,470.0,980.0,7.0,Nororiente,1388.01
5,4.0,228.0,837.0,2.0,Nororiente,971.61
6,6.0,443.0,943.0,4.0,Nororiente,1242.09
4,4.0,235.0,502.0,3.0,Nororiente,658.06
4,4.0,363.0,1200.0,5.0,Nororiente,1024.99
5,5.0,374.0,1126.0,10.0,Nororiente,864.84
4,3.0,136.0,110.0,2.0,Nororiente,395.05
3,3.0,254.0,529.0,3.0,Nororiente,1033.75
4,3.0,172.0,374.0,3.0,Nororiente,764.83
5,4.0,214.0,614.0,2.0,Nororiente,697.21
6,4.0,205.0,491.0,2.0,Nororiente,765.18
5,4.0,310.0,735.0,4.0,Nororiente,1167.35
5,3.0,150.0,320.0,2.0,Nororiente,533.85
5,4.0,253.0,2900.0,8.0,Nororiente,1348.51
3,3.0,97.0,137.0,1.0,Suroriente,170.0
3,2.0,92.0,420.0,5.0,Nororiente,352.34
5,4.0,330.0,753.0,3.0,Nororiente,1206.5
5,5.0,273.0,731.0,3.0,Nororiente,1135.32
5,4.0,140.0,150.0,4.0,Nororiente,562.32
5,3.0,450.0,1479.0,2.0,Nororiente,1921.86
5,5.0,175.0,510.0,2.0,Norte,601.47
5,4.0,787.0,5000.0,10.0,Surponiente,640.62
4,3.0,110.0,300.0,2.0,Suroriente,311.41
4,3.0,145.0,803.0,5.0,Nororiente,765.18
5,4.0,211.0,300.0,2.0,Nororiente,622.83
5,4.0,295.0,707.0,3.0,Nororiente,1128.2
6,4.0,392.0,961.0,3.0,Nororiente,1352.42
7,5.0,653.0,1381.0,3.0,Nororiente,1832.88
5,3.0,160.0,684.0,5.0,Nororiente,701.12
3,3.0,90.0,178.0,1.0,Nororiente,423.17
6,6.0,450.0,1002.0,5.0,Nororiente,1775.94
4,4.0,333.0,811.0,5.0,Nororiente,1316.83
4,4.0,335.0,809.0,5.0,Nororiente,1423.6
6,4.0,520.0,1820.0,3.0,Nororiente,1637.14
6,4.0,375.0,900.0,3.0,Nororiente,1388.01
8,7.0,908.0,4844.0,6.0,Nororiente,1850.68
6,3.0,210.0,400.0,3.0,Nororiente,674.43
4,3.0,160.0,410.0,2.0,Suroriente,476.91
5,7.0,650.0,1600.0,8.0,Nororiente,1174.47
5,4.0,236.0,477.0,1.0,Nororiente,889.75
5,4.0,146.0,178.0,1.0,Nororiente,640.62
5,5.0,265.0,720.0,3.0,Nororiente,992.25
5,5.0,583.0,3700.0,4.0,Norte,2099.45
5,4.0,306.0,1020.0,2.0,Nororiente,942.78
5,6.0,417.0,1323.0,6.0,Nororiente,1138.88
5,4.0,400.0,1059.0,4.0,Nororiente,1672.37
5,3.0,228.0,668.0,3.0,Nororiente,854.16
4,3.0,180.0,330.0,2.0,Nororiente,370.14
6,4.0,232.0,327.0,3.0,Nororiente,729.6
5,4.0,140.0,342.0,2.0,Nororiente,565.88
5,4.0,440.0,1700.0,5.0,Nororiente,1779.5
8,6.0,373.0,615.0,2.0,Nororiente,782.98
6,2.0,314.0,750.0,6.0,Nororiente,1028.55
3,4.0,140.0,450.0,2.0,Norte,338.1
4,4.0,200.0,5000.0,14.0,Norte,658.42
4,4.0,170.0,300.0,2.0,Nororiente,551.64
