Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,Realtor,Price_CLP_MM,F_homicidio,T_homicidio,R_homicidio,F_rlh,T_rlh,R_rlh,F_rlnh,T_rlnh,R_rlnh,F_r_veh,T_r_veh,R_r_veh,F_r_violencia,T_r_violencia,R_r_violencia,F_violacion,T_violacion,R_violacion,Sector
PedroAguirreCerda,Rucalhue,2,1.0,112.0,145.0,1.0,Legales y Propiedades SpA,105.0,9,8.5,crítico,206,193.4,alto,317,297.7,medio,232,217.8,alto,701,658.2,alto,28,26.3,alto,Sur
EstaciónCentral,AvenidaLasParcelas,3,1.0,59.0,243.0,2.0,Propiedadesrs,128.12,19,8.7,crítico,233,107.0,medio,542,249.0,medio,648,297.7,alto,2059,946.0,crítico,48,22.1,alto,Surponiente
Colina,PasajeGonzaloRojas,3,1.0,103.0,73.0,1.0,Patricio Gajardo propiedades,75.0,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Colina,HernánDíazArrieta2820,2,1.0,57.0,67.0,1.0,Patricio Gajardo propiedades,53.0,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Colina,GabrielaMistral/PabloNeruda,3,1.0,70.0,80.0,2.0,Patricio Gajardo propiedades,75.0,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
LaFlorida,SanCristóbalTres,2,1.0,50.0,120.0,1.0,Gesinprop Gestión Inmobiliaria,105.0,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
Maipú,PasajeJosédeMoraleda,3,1.0,72.0,72.0,1.0,Gesinprop Gestión Inmobiliaria,76.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,Matías,3,1.0,46.0,90.0,1.0,Gesinprop Gestión Inmobiliaria,76.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,LasTinajas&QuintaVergara,3,1.0,100.0,134.0,3.0,Gesinprop Gestión Inmobiliaria,90.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
SanBernardo,ValledelAconcagua,3,2.0,50.0,88.0,1.0,Gesinprop Gestión Inmobiliaria,75.0,22,6.4,alto,372,108.6,medio,1004,293.2,medio,861,251.5,alto,2525,737.4,alto,81,23.7,alto,Sur
